AREANM,AREACD,Cumulative lab-confirmed cases
Worcestershire,E10000034,1379
West Sussex,E10000032,1329
Warwickshire,E10000031,1450
Surrey,E10000030,2925
Suffolk,E10000029,1505
Staffordshire,E10000028,2256
Somerset,E10000027,698
Oxfordshire,E10000025,2074
Nottinghamshire,E10000024,1415
North Yorkshire,E10000023,1304
Northamptonshire,E10000021,1512
Norfolk,E10000020,2171
Lincolnshire,E10000019,1111
Leicestershire,E10000018,1305
Lancashire,E10000017,3630
Kent,E10000016,5008
Hertfordshire,E10000015,2889
Hampshire,E10000014,3336
Gloucestershire,E10000013,1374
Essex,E10000012,3252
East Sussex,E10000011,717
Devon,E10000008,815
Derbyshire,E10000007,1707
Cumbria,E10000006,2210
Cambridgeshire,E10000003,1179
Buckinghamshire,E10000002,1005
Westminster,E09000033,657
Wandsworth,E09000032,997
Waltham Forest,E09000031,769
Tower Hamlets,E09000030,633
Sutton,E09000029,741
Southwark,E09000028,1272
Richmond upon Thames,E09000027,410
Redbridge,E09000026,758
Newham,E09000025,1005
Merton,E09000024,696
Lewisham,E09000023,983
Lambeth,E09000022,1210
Kingston upon Thames,E09000021,523
Kensington and Chelsea,E09000020,498
Islington,E09000019,462
Hounslow,E09000018,731
Hillingdon,E09000017,782
Havering,E09000016,711
Harrow,E09000015,1030
Haringey,E09000014,596
Hammersmith and Fulham,E09000013,664
Hackney,E09000012,649
Greenwich,E09000011,700
Enfield,E09000010,888
Ealing,E09000009,1202
Croydon,E09000008,1511
Camden,E09000007,629
Bromley,E09000006,1279
Brent,E09000005,1471
Bexley,E09000004,720
Barnet,E09000003,1298
Barking and Dagenham,E09000002,497
City of London,E09000001,17
Gateshead,E08000037,1004
Wakefield,E08000036,748
Leeds,E08000035,1835
Kirklees,E08000034,757
Calderdale,E08000033,294
Bradford,E08000032,1332
Wolverhampton,E08000031,998
Walsall,E08000030,1089
Solihull,E08000029,667
Sandwell,E08000028,1033
Dudley,E08000027,878
Coventry,E08000026,806
Birmingham,E08000025,3237
Sunderland,E08000024,1380
South Tyneside,E08000023,744
North Tyneside,E08000022,616
Newcastle upon Tyne,E08000021,1062
Sheffield,E08000019,2542
Rotherham,E08000018,979
Doncaster,E08000017,786
Barnsley,E08000016,968
Wirral,E08000015,1293
Sefton,E08000014,933
St. Helens,E08000013,754
Liverpool,E08000012,1629
Knowsley,E08000011,668
Wigan,E08000010,1207
Trafford,E08000009,829
Tameside,E08000008,735
Stockport,E08000007,1054
Salford,E08000006,930
Rochdale,E08000005,794
Oldham,E08000004,1079
Manchester,E08000003,1584
Bury,E08000002,761
Bolton,E08000001,1019
Dorset,E06000059,365
"Bournemouth, Christchurch and Poole",E06000058,481
Northumberland,E06000057,1009
Central Bedfordshire,E06000056,641
Bedford,E06000055,654
Wiltshire,E06000054,532
Cornwall and Isles of Scilly,E06000052,576
Shropshire,E06000051,812
Cheshire West and Chester,E06000050,1145
Cheshire East,E06000049,1238
County Durham,E06000047,2012
Isle of Wight,E06000046,199
Southampton,E06000045,589
Portsmouth,E06000044,320
Brighton and Hove,E06000043,441
Milton Keynes,E06000042,509
Wokingham,E06000041,446
Windsor and Maidenhead,E06000040,292
Slough,E06000039,454
Reading,E06000038,586
West Berkshire,E06000037,379
Bracknell Forest,E06000036,256
Medway,E06000035,766
Thurrock,E06000034,338
Southend-on-Sea,E06000033,405
Luton,E06000032,757
Peterborough,E06000031,427
Swindon,E06000030,454
Torbay,E06000027,221
Plymouth,E06000026,358
South Gloucestershire,E06000025,403
North Somerset,E06000024,450
"Bristol, City of",E06000023,707
Bath and North East Somerset,E06000022,233
Stoke-on-Trent,E06000021,777
Telford and Wrekin,E06000020,368
"Herefordshire, County of",E06000019,443
Nottingham,E06000018,611
Rutland,E06000017,35
Leicester,E06000016,900
Derby,E06000015,591
York,E06000014,457
North Lincolnshire,E06000013,514
North East Lincolnshire,E06000012,156
East Riding of Yorkshire,E06000011,914
"Kingston upon Hull, City of",E06000010,734
Blackpool,E06000009,643
Blackburn with Darwen,E06000008,411
Warrington,E06000007,772
Halton,E06000006,405
Darlington,E06000005,389
Stockton-on-Tees,E06000004,595
Redcar and Cleveland,E06000003,423
Middlesbrough,E06000002,677
Hartlepool,E06000001,329
